2007 Lower Deer Point Meterological Hourly Data (Summary),,,,,,,,,,,
,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,
,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,
05/22/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/22/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/23/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/24/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/25/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/26/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/27/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/28/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/29/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/30/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
05/31/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/01/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/02/07 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
06/03/07 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
